counts,value,time
0,0.311,1.184556484222412
0,0.401,1.4958674907684326
0,0.744,1.896596908569336
1,0.744,2.6402900218963623
2,0.744,10.696598768234253
3,0.744,15.807974338531494
0,0.703,3.384582757949829
0,0.768,4.087867736816406
1,0.768,23.82451319694519
0,0.72,4.856074810028076
1,0.72,21.648030042648315
2,0.72,29.000593900680542
0,0.736,5.576167345046997
1,0.736,8.48821210861206
2,0.736,9.224538087844849
3,0.736,9.96038269996643
4,0.736,20.176210641860962
5,0.736,20.91210150718689
0,0.712,6.312554597854614
1,0.712,7.024523735046387
2,0.712,26.08067750930786
0,0.752,7.736574649810791
1,0.752,18.7203266620636
2,0.752,22.368411779403687
0,0.672,11.440470933914185
0,0.743,12.112477779388428
0,0.76,12.85580325126648
1,0.76,27.487744569778442
0,0.713,13.61588454246521
0,0.728,14.328565120697021
1,0.728,17.991995573043823
0,0.751,15.056638717651367
0,0.705,16.55208683013916
0,0.735,17.256614923477173
0,0.704,19.47268033027649
1,0.704,23.120103359222412
0,0.759,24.592350482940674
0,0.729,25.351750135421753
0,0.695,26.792285203933716
0,0.753,28.248085498809814
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
