counts,value,time
1,0.663,1.2007472515106201
1,0.713,1.863708734512329
1,0.744,2.57637619972229
2,0.744,3.320037841796875
3,0.744,4.76836895942688
4,0.744,22.328647136688232
1,0.705,4.063799142837524
1,0.728,5.511953592300415
2,0.728,11.360863208770752
3,0.728,16.496422290802002
4,0.728,20.14444899559021
5,0.728,23.80128026008606
6,0.728,25.241464376449585
7,0.728,27.46563696861267
1,0.72,6.240429639816284
2,0.72,10.640890836715698
1,0.736,6.960633993148804
2,0.736,12.84856128692627
3,0.736,15.024296760559082
4,0.736,15.760509490966797
1,0.76,7.6965651512146
2,0.76,12.088723182678223
3,0.76,28.873602867126465
1,0.696,8.45680022239685
1,0.743,9.15272855758667
2,0.743,25.96941828727722
1,0.745,9.8961763381958
2,0.745,20.872478485107422
1,0.721,13.584497451782227
2,0.721,17.936315298080444
1,0.718,14.305963277816772
1,0.712,17.2245135307312
2,0.712,24.52941584587097
1,0.752,18.657061338424683
1,0.735,19.409040212631226
1,0.711,21.61768865585327
1,0.729,23.07254958152771
1,0.753,26.712697982788086
1,0.68,28.193466424942017
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
